frame.len,frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.length,radiotap.timestamp.ts,wlan.duration,wlan.fc.frag,wlan.fc.order,wlan.fc.moredata,wlan.fc.protected,wlan.fc.pwrmgt,wlan.fc.type,wlan.fc.retry,wlan.fc.subtype,wlan_radio.duration,wlan.seq,wlan_radio.data_rate,wlan_radio.signal_dbm,wlan_radio.phy,wlan.sa,wlan.da,wlan.bssid,frame.interface_name
87,0.041534800,0.041534800,1744874371.212728496,0.256490336,13,,0,False,False,False,True,False,2,False,8,688,3358,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
205,0.048378973,0.048378973,1744874371.261107469,0.304869309,13,,0,False,False,False,True,False,2,False,8,1632,3359,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
1467,0.000009428,0.000009428,1744874371.261116897,0.304878737,13,,0,False,False,False,True,False,2,False,8,11728,3360,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
886,0.000011592,0.000011592,1744874371.261128489,0.304890329,13,,0,False,False,False,True,False,2,False,8,7080,3360,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
125,0.004068054,0.004068054,1744874371.265196543,0.308958383,13,,0,False,False,False,True,False,2,False,8,992,3361,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
125,0.000010530,0.000010530,1744874371.265207073,0.308968913,13,,0,False,False,False,True,False,2,False,8,992,3362,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
107,0.027636556,0.027636556,1744874371.292843629,0.336605469,13,,0,False,False,False,True,False,2,False,8,848,3363,1,,4,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,ee:64:43:f1:4e:4e,wlo1
170,0.010576526,0.010576526,1744874371.303420155,0.347181995,68,1198896300,44,False,False,False,True,False,2,False,8,,953,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
170,0.000000090,0.000000090,1744874371.303420245,0.347182085,68,1198896300,44,False,False,False,True,False,2,False,8,,953,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
162,0.000000150,0.000000150,1744874371.303420395,0.347182235,68,1198896300,44,False,False,False,True,False,2,False,8,,955,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
170,-0.000000080,-0.000000080,1744874371.303420315,0.347182155,68,1198896300,44,False,False,False,True,False,2,False,8,,953,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
311,0.000000050,0.000000050,1744874371.303420365,0.347182205,68,1198896300,44,False,False,False,True,False,2,False,8,,956,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
217,-0.000000030,-0.000000030,1744874371.303420335,0.347182175,68,1198896300,44,False,False,False,True,False,2,False,8,,954,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
150,-0.000000030,-0.000000030,1744874371.303420305,0.347182145,68,1198896300,44,False,False,False,True,False,2,False,8,,953,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
265,0.000021310,0.000021310,1744874371.303441615,0.347203455,68,1198896300,44,False,False,False,True,False,2,False,8,,954,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
295,0.000002565,0.000002565,1744874371.303444180,0.347206020,68,1198896300,44,False,False,False,True,False,2,False,8,,956,229.4,-43,11,ee:64:43:f1:4e:4e,a4:42:3b:6e:0b:63,ee:64:43:f1:4e:4e,wlo1
